Unnamed: 0,name,cik,state,issuers,cussip,shares,shares_type
3543,Neumann Advisory Hong Kong Ltd,1727862,K3,Sinovac,P8696W104,315586.0,SH
4319,First American Bank,1291422,IL,Glaxosmithkline,377372AL1,3600000.0,PRN
4387,First American Bank,1291422,IL,Merck,58933Y105,117099.0,SH
4388,First American Bank,1291422,IL,Merck,58933Y105,450.0,SH
4417,First American Bank,1291422,IL,Pfizer,717081103,132182.0,SH
4418,First American Bank,1291422,IL,Pfizer,717081103,685.0,SH
30539,"SCOUT INVESTMENTS, INC.",1161927,MO,Novartis,668771108,587166.0,SH
30574,"SCOUT INVESTMENTS, INC.",1161927,MO,Roche,770323103,480460.0,SH
120308,"Pacer Advisors, Inc.",1616667,PA,Astrazeneca,046224101,5299.0,SH
120350,"Pacer Advisors, Inc.",1616667,PA,Bayer,071813109,31935.0,SH
120744,"Pacer Advisors, Inc.",1616667,PA,Glaxosmithkline,37637Q105,9862.0,SH
121009,"Pacer Advisors, Inc.",1616667,PA,Merck,588056AY7,4075000.0,SH
121026,"Pacer Advisors, Inc.",1616667,PA,Moderna,60468T105,554.0,SH
121097,"Pacer Advisors, Inc.",1616667,PA,Novartis,668771108,47046.0,SH
121178,"Pacer Advisors, Inc.",1616667,PA,Pfizer,715347100,15244.0,SH
121262,"Pacer Advisors, Inc.",1616667,PA,Roche,770323103,25719.0,SH
121293,"Pacer Advisors, Inc.",1616667,PA,Sanofi,801056102,20205.0,SH
155431,REGENTS OF THE UNIVERSITY OF CALIFORNIA,315054,CA,Merck,571748102,5200.0,SH
155434,REGENTS OF THE UNIVERSITY OF CALIFORNIA,315054,CA,Pfizer,69121K104,42690843.0,SH
156979,RIVERBRIDGE PARTNERS LLC,1112325,MN,Roche,767744105,3763185.0,SH
206395,"Cullen Capital Management, LLC",1362535,NY,Glaxosmithkline,372460105,481424.0,SH
206396,"Cullen Capital Management, LLC",1362535,NY,Glaxosmithkline,G3910J112,43033.0,SH
206416,"Cullen Capital Management, LLC",1362535,NY,Merck,G5960L103,375806.0,SH
206426,"Cullen Capital Management, LLC",1362535,NY,Novartis,J59396101,174110.0,SH
206427,"Cullen Capital Management, LLC",1362535,NY,Novartis,H5820Q150,12720.0,SH
206430,"Cullen Capital Management, LLC",1362535,NY,Pfizer,68389X105,12705.0,SH
206442,"Cullen Capital Management, LLC",1362535,NY,Roche,75513E101,668392.0,SH
206445,"Cullen Capital Management, LLC",1362535,NY,Sanofi,796050888,854.0,SH
