entity,cusip,cik,date,tickercusip,nameOfIssuer,shares,value
"0001424322    Cubic Asset Management, LLC
Name: entity, dtype: object",49164205,1424322,6/30/2020,4205R,ATLAS AIR WORLDWIDE HOLDINGS,74123,3190000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",03823U102,1558481,12/31/2019,AAOI,APPLIED OPTOELECTRONICS INC,12745,151000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",360206,1558481,6/30/2020,AAON,AAON INC,9406,511000
"0001748766    Brand Asset Management Group, Inc.
Name: entity, dtype: object",37833100,1748766,6/30/2020,AAPL,APPLE INC,910,332000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",24013104,1558481,6/30/2020,AAT,AMERICAN ASSETS TRUST INC,11524,321000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",05464C101,1558481,6/30/2020,AAXN,AXON ENTERPRISE INC,13394,1314000
"0001748766    Brand Asset Management Group, Inc.
Name: entity, dtype: object",00287Y109,1748766,6/30/2020,ABBV,ABBVIE INC,659,65000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",03076K108,1558481,6/30/2020,ABCB,AMERIS BANCORP,14937,352000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",43436104,1558481,6/30/2020,ABG,ASBURY AUTOMOTIVE GROUP,4367,338000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",957100,1558481,6/30/2020,ABM,ABM INDUSTRIES INC,15067,547000
"0001748766    Brand Asset Management Group, Inc.
Name: entity, dtype: object",2824100,1748766,6/30/2020,ABT,ABBOTT LABS,365,33000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",67901108,1537014,6/30/2020,ABX,BARRICK GOLD CORPORATION,85982,2306000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",39653100,1558481,6/30/2020,ACA,ARCOSA INC,10897,460000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",05156X108,1537014,3/31/2020,ACB,AURORA CANNABIS INC,40380,85000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",00401C108,1537014,6/30/2020,ACIA,ACACIA COMMUNICATIONS INC,70341,4726000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",00766T100,1558481,6/30/2020,ACM,AECOM,35802,1345000
"0001759803    Graves-Light Private Wealth Management, Inc.
Name: entity, dtype: object",464286525,1759803,6/30/2020,ACWV,ISHARES INC,33328,2919000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",8492100,1558481,6/30/2020,ADC,AGREE REALTY CORP,10285,676000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",32654105,1537014,6/30/2020,ADI,ANALOG DEVICES INC,358178,43929000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",G0084W101,1558481,6/30/2020,ADNT,ADIENT PLC,20111,330000
